policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,13,75,2.28,0.0,optimal,0,0,2.3621588000000315,2.359375
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,78,2.22,0.0,optimal,0,0,2.355128900000011,2.359375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,13,70,2.25,0.0,optimal,0,0,2.307518000000016,2.3125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,15,77,2.16,0.0,optimal,0,0,2.2572673000000236,2.25
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1502,2022,19.9,0.0,optimal,0,0,21.07241240000002,20.96875
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1402,1930,18.78,0.0,optimal,0,0,19.839542199999983,19.703125
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1459,2119,20.24,0.0,optimal,0,0,21.364535700000033,21.078125
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1454,2001,19.61,0.0,optimal,0,0,20.830040399999973,20.609375
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1557,2067,20.28,0.0,optimal,0,0,21.342791599999998,21.140625
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1480,1933,19.48,0.0,optimal,0,0,20.599277200000017,20.4375
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1321,1914,17.43,0.0,optimal,0,0,19.034475399999963,18.203125
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1319,1901,17.68,0.0,optimal,0,0,19.20246130000004,18.703125
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1439,1954,18.79,0.0,optimal,0,0,20.43015509999998,19.8125
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1428,2005,18.59,0.0,optimal,0,0,19.88490210000009,19.4375
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1278,1812,17.46,0.0,optimal,0,0,18.804495799999927,18.515625
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1346,1817,18.36,0.0,optimal,0,0,19.405568800000083,19.140625
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1281,1869,17.87,0.0,optimal,0,0,19.064545100000032,18.796875
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1511,2102,20.35,0.0,optimal,0,0,21.58717539999998,21.484375
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1374,1748,18.52,0.0,optimal,0,0,19.49963630000002,19.390625
gcnn:baseline,depthK_adaptive,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1428,2037,19.34,0.0,optimal,0,0,20.418003200000044,20.171875
gcnn:baseline,depthK_adaptive,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1336,1764,17.94,0.0,optimal,0,0,19.11153520000005,18.84375
gcnn:baseline,depthK_adaptive,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1391,1871,18.63,0.0,optimal,0,0,19.868374599999925,19.515625
gcnn:baseline,depthK_adaptive,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1314,1866,18.06,0.0,optimal,0,0,19.200006099999996,18.953125
gcnn:baseline,depthK_adaptive,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1666,2250,21.16,0.0,optimal,0,0,22.714560900000038,22.265625
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1509,2061,19.81,0.0,optimal,0,0,21.016523899999925,20.78125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1604,2147,20.73,0.0,optimal,0,0,22.169074499999965,21.8125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1437,2046,19.11,0.0,optimal,0,0,20.53013779999992,20.296875
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1597,2090,20.34,0.0,optimal,0,0,22.15751929999999,21.546875
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1565,2095,20.36,0.0,optimal,0,0,21.628079400000047,21.390625
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,37,153,2.89,0.0,optimal,0,0,3.0492117999999664,3.03125
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,33,105,2.77,0.0,optimal,0,0,2.8697339000000284,2.84375
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,33,168,2.83,0.0,optimal,0,0,2.872255999999993,2.875
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,35,142,2.82,0.0,optimal,0,0,2.8440418999999793,2.828125
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,43,159,2.94,0.0,optimal,0,0,3.0788909999999987,3.046875
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,37,169,2.96,0.0,optimal,0,0,3.068144200000006,3.078125
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,35,161,2.86,0.0,optimal,0,0,2.977992599999993,2.953125
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,35,105,2.7,0.0,optimal,0,0,2.784114700000032,2.765625
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,31,142,2.75,0.0,optimal,0,0,2.789893099999972,2.78125
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,37,154,2.91,0.0,optimal,0,0,2.9765332999999146,2.953125
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,31,114,2.84,0.0,optimal,0,0,2.9272236000000476,2.921875
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,37,175,2.89,0.0,optimal,0,0,2.9984832000000097,3.015625
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,31,163,2.79,0.0,optimal,0,0,2.8621041000000105,2.859375
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,31,140,2.69,0.0,optimal,0,0,2.8017638000000034,2.8125
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,45,170,3.01,0.0,optimal,0,0,3.0786451999999827,3.078125
